Nazwa;Ticker;Kurs;Zmiana;Zmiana %;Wpływ na indeks;Udział w obrocie;Pakiet;Udział w portfelu
TOYA;TOA;wrz.23;-0.1;-0.0107;-0.000006;0.000228;36100000;0.0006
WAWEL;WWL;696;-4;-0.0057;-0.000004;0.000016;509000;0.0006
ARLEN;ARL;30.87;0.87;0.029;0.000014;0.001928;8833000;0.0005
ASTARTA;AST;44.15;-0.35;-0.0079;-0.000004;0.000061;6964000;0.0005
BIOCELTIX;BCX;79.9;02.mar;0.0296;0.000014;0.000261;3380000;0.0005
BLOOBER;BLO;23.lip;-0.1;-0.0042;-0.000002;0.000092;12691000;0.0005
DADELO;DAD;58.2;-1;-0.0169;-0.000008;0.000155;4806000;0.0005
DIGITANET;DIG;159;-0.6;-0.0038;-0.000002;0.001111;1967000;0.0005
ELEKTROTI;ELT;39.4;-0.6;-0.015;-0.000007;0.0009;7023000;0.0005
GREENX;GRX;2.052;0.008;0.0039;0.000002;0.000418;149846000;0.0005
MCI;MCI;27.kwi;-0.5;-0.0179;-0.000009;0.000121;10025000;0.0005
PLAYWAY;PLW;257;09.maj;0.0384;0.000021;0.001377;1200000;0.0005
SELENAFM;SEL;51.6;0.8;0.0157;0.000007;0.000087;5021000;0.0005
STALEXP;STX;mar.18;0.035;0.0111;0.000006;0.000223;95938000;0.0005
UNIMOT;UNT;127;-2;-0.0155;-0.000008;0.000087;2430000;0.0005
VIGOPHOTN;VGO;435;-23;-0.0502;-0.000024;0.000318;618000;0.0005
ZEPAK;ZEP;16.maj;-0.28;-0.0167;-0.000008;0.000498;17299000;0.0005
BOGDANKA;LWB;17.86;0.18;0.0102;0.000004;0.001406;12051000;0.0004
BOS;BOS;wrz.85;-0.1;-0.01;-0.000004;0.000157;25847000;0.0004
CAPTORTX;CTX;68;1;0.0149;0.000006;0.000173;3673000;0.0004
CIGAMES;CIG;lut.49;-0.065;-0.0254;-0.00001;0.000521;88448000;0.0004
COGNOR;COG;kwi.79;0.052;0.011;0.000004;0.001947;41957000;0.0004
ENELMED;ENE;17.lip;-0.5;-0.0275;-0.000012;0.000001;13672000;0.0004
MOSTALZAB;MSZ;cze.36;-0.08;-0.0124;-0.000004;0.000161;31708000;0.0004
SCPFL;SCP;143.6;1;0.007;0.000003;0.000204;1552000;0.0004
SYGNITY;SGN;91.2;-1.6;-0.0172;-0.000007;0.000145;2648000;0.0004
UNIBEP;UNI;13.wrz;-0.1;-0.0071;-0.000003;0.000022;16720000;0.0004
VOTUM;VOT;45.3;-1.2;-0.0258;-0.00001;0.000385;5150000;0.0004
ACAUTOGAZ;ACG;21.maj;-0.4;-0.0183;-0.000005;0.000039;7022000;0.0003
AMBRA;AMB;16.84;-0.16;-0.0094;-0.000003;0.000194;9800000;0.0003
ANSWEAR;ANR;26.sie;0.65;0.0249;0.000008;0.000347;7083000;0.0003
ARCTIC;ATC;sie.16;-0.07;-0.0085;-0.000003;0.000336;21989000;0.0003
BIOTON;BIO;mar.84;-0.04;-0.0103;-0.000003;0.000123;43062000;0.0003
CREEPYJAR;CRJ;399;-5;-0.0124;-0.000003;0.000247;387000;0.0003
IMCOMPANY;IMC;27.mar;-0.4;-0.0144;-0.000004;0.000021;6496000;0.0003
MANGATA;MGT;59.6;0.6;0.0102;0.000003;0.000075;2450000;0.0003
MEDICALG;MDG;33.7;0.75;0.0228;0.000007;0.000477;4976000;0.0003
ONDE;OND;sie.38;-0.04;-0.0048;-0.000001;0.000416;17909000;0.0003
PCCROKITA;PCR;61.9;-0.6;-0.0096;-0.000003;0.00034;3124000;0.0003
SNTVERSE;SVE;mar.65;0.08;0.0224;0.000006;0.000489;45716000;0.0003
WIELTON;WLT;maj.66;-0.02;-0.0035;-0.000001;0.000252;30780000;0.0003
ACTION;ACT;30.45;0.05;0.0016;0;0.000047;4627000;0.0002
AILLERON;ALL;16.46;-0.14;-0.0084;-0.000002;0.000121;6523000;0.0002
ATMGRUPA;ATG;mar.87;0.04;0.0104;0.000003;0.000071;35882000;0.0002
ATREM;ATR;56.6;0.6;0.0107;0.000002;0.000128;2098000;0.0002
BUMECH;BMC;13.48;0.26;0.0197;0.000004;0.000634;7545000;0.0002
CAVATINA;CAV;13.lip;0.05;0.0037;0.000001;0.000003;6313000;0.0002
COLUMBUS;CLC;kwi.92;-0.005;-0.001;0;0.000455;20300000;0.0002
DEKPOL;DEK;84;-0.8;-0.0094;-0.000002;0.000268;1216000;0.0002
ERBUD;ERB;23.lip;0;0;0;0.000214;5521000;0.0002
IFIRMA;IFI;30.wrz;0.35;0.0115;0.000002;0.000067;2970000;0.0002
INPRO;INP;08.lip;0;0;0;0.000004;14930000;0.0002
INSTALKRK;INK;35.7;0.1;0.0028;0.000001;0.000038;3915000;0.0002
KINOPOL;KPL;21;-0.1;-0.0047;-0.000001;0.000677;4589000;0.0002
KRKA;KRK;852;28;0.034;0.000007;0.000108;139000;0.0002
MCR;MCR;20.lip;0.1;0.0049;0.000001;0.000039;6519000;0.0002
MEDINICE;ICE;16.cze;0.08;0.005;0.000001;0.000517;5709000;0.0002
MERCATOR;MRC;38.45;0.2;0.0052;0.000001;0.000543;3384000;0.0002
MFO;MFO;35.6;0.5;0.0142;0.000002;0.000097;2506000;0.0002
MOLECURE;MOC;cze.48;-0.02;-0.0031;-0.000001;0.000149;14386000;0.0002
PEKABEX;PBX;11.sty;-0.15;-0.0133;-0.000002;0.000146;9441000;0.0002
PHN;PHN;wrz.54;0;0;0;0.000078;14374000;0.0002
POLICE;PCE;cze.82;-0.06;-0.0087;-0.000002;0.000048;20551000;0.0002
RAWLPLUG;RWL;12.lip;0.6;0.0496;0.000011;0.000014;10416000;0.0002
SECOGROUP;SWG;31;0.4;0.0131;0.000003;0;3853000;0.0002
SPYROSOFT;SPR;572;2;0.0035;0.000001;0.000062;210000;0.0002
WITTCHEN;WTN;15.34;-0.14;-0.009;-0.000002;0.000411;7421000;0.0002
XTPL;XTP;73.6;-1;-0.0134;-0.000002;0.000094;1397000;0.0002
ZUE;ZUE;10.sie;-0.1;-0.0092;-0.000001;0.000043;8629000;0.0002
4MASS;4MS;4.415;-0.025;-0.0056;-0.000001;0.000071;15627000;0.0001
ALTUS;ALI;03.sty;-0.03;-0.0099;-0.000001;0.000019;21843000;0.0001
APLISENS;APN;17.25;-0.25;-0.0143;-0.000001;0.000001;2199000;0.0001
ARTIFEX;ART;12.kwi;0.88;0.0764;0.000011;0.000162;6908000;0.0001
ATENDE;ATD;lut.68;-0.04;-0.0147;-0.000001;0.000093;19463000;0.0001
BBIDEV;BBD;maj.25;-0.05;-0.0094;-0.000001;0.000012;5477000;0.0001
BIOMAXIMA;BMX;lis.15;0.15;0.0136;0.000001;0.000103;2750000;0.0001
CLOUD;CLD;57.6;0;0;0;0.000022;1065000;0.0001
COALENERG;CLE;lut.81;0.07;0.0255;0.000001;0.000142;11252000;0.0001
DELKO;DEL;lip.68;0.2;0.0267;0.000002;0.000417;5188000;0.0001
EQUNICO;EQU;0.9;-0.02;-0.0217;-0.000002;0.000013;51925000;0.0001
ESOTIQ;EAH;32.9;0.5;0.0154;0.000001;0.000024;948000;0.0001
EUROTEL;ETL;29.2;0.2;0.0069;0.000001;0.000084;1848000;0.0001
FABRITY;FAB;23.cze;0.1;0.0043;0;0.000012;1410000;0.0001
GENOMTEC;GMT;mar.61;-0.11;-0.0296;-0.000002;0.000133;12326000;0.0001
GETIN;GTN;0.534;0.003;0.0056;0.000001;0.000113;85457000;0.0001
GRODNO;GRN;paź.15;-0.15;-0.0146;-0.000001;0.000094;5264000;0.0001
IMMOBILE;GKI;mar.49;0.06;0.0175;0.000002;0.00001;18544000;0.0001
IMS;IMS;lut.65;-0.08;-0.0293;-0.000002;0.000021;13484000;0.0001
INTROL;INL;lip.58;0.02;0.0026;0;0.000009;4825000;0.0001
IPOPEMA;IPE;mar.91;0.22;0.0596;0.000006;0.000343;15414000;0.0001
IZOSTAL;IZS;03.lut;0.01;0.0031;0;0.000039;13005000;0.0001
JRH;JRH;04.wrz;0.14;0.0294;0.000003;0.000034;12682000;0.0001
LENTEX;LTX;cze.74;0.02;0.003;0;0.000019;6803000;0.0001
LOKUM;LKD;22;0;0;0;0.000002;2139000;0.0001
MABION;MAB;cze.79;-0.06;-0.0088;-0.000001;0.000448;11052000;0.0001
MAKARONPL;MAK;22.25;0.2;0.0091;0.000001;0.000017;2974000;0.0001
MARVIPOL;MVP;08.maj;-0.1;-0.0116;-0.000001;0.000015;8313000;0.0001
MLSYSTEM;MLS;15.26;-0.14;-0.0091;-0.000001;0.000255;3363000;0.0001
MONNARI;MON;maj.92;-0.16;-0.0263;-0.000004;0.000009;12918000;0.0001
MOSTALWAR;MSW;8;-0.04;-0.005;-0.000001;0.000033;7573000;0.0001
NANOGROUP;NNG;lut.62;-0.01;-0.0038;0;0.000069;20378000;0.0001
NOCTILUCA;NCL;88.8;-1;-0.0111;-0.000002;0.000098;964000;0.0001
NTTSYSTEM;NTT;sie.76;-0.12;-0.0135;-0.000001;0.000015;4348000;0.0001
ODLEWNIE;ODL;paź.25;0;0;0;0.000063;7600000;0.0001
OTLOG;OTS;paź.62;-0.38;-0.0345;-0.000003;0.000024;4009000;0.0001
OTMUCHOW;OTM;kwi.45;-0.05;-0.0111;-0.000001;0.000001;10007000;0.0001
PANOVA;NVA;15.maj;-0.3;-0.019;-0.000003;0;5196000;0.0001
PASSUS;PAS;91;-0.8;-0.0087;-0.000001;0.00006;611000;0.0001
PCFGROUP;PCF;03.kwi;0.17;0.0526;0.000007;0.000229;22486000;0.0001
PHOTON;PEN;1.745;-0.045;-0.0251;-0.000001;0.000034;19795000;0.0001
POLTREG;PTG;25.sie;0.2;0.0078;0.000001;0.000015;2131000;0.0001
